user_id,signup_date,country,subscription_tier,age_group
user_86,2025-10-31 10:22:36.470285,CA,basic,25-34
user_87,2025-05-18 10:22:36.470285,US,basic,55+
user_88,2025-05-12 10:22:36.470285,US,basic,25-34
user_89,2025-07-26 10:22:36.470285,DE,premium,25-34
user_90,2025-05-02 10:22:36.470285,FR,premium,55+
user_91,2025-03-25 10:22:36.470285,US,premium,55+
user_92,2025-07-31 10:22:36.470285,US,basic,45-54
user_93,2025-05-16 10:22:36.470285,US,free,55+
user_94,2025-11-06 10:22:36.470285,CA,free,35-44
user_95,2026-01-02 10:22:36.470285,US,premium,45-54
user_96,2025-06-15 10:22:36.470285,UK,premium,25-34
user_97,2026-01-08 10:22:36.470285,DE,basic,18-24
user_98,2025-10-23 10:22:36.470285,US,premium,25-34
user_99,2025-02-13 10:22:36.470285,US,free,25-34
user_100,2025-08-14 10:22:36.470285,UK,basic,35-44
user_101,2026-01-13 10:22:36.470285,CA,basic,55+
user_102,2025-08-03 10:22:36.470285,DE,free,18-24
user_103,2025-03-11 10:22:36.470285,AU,basic,55+
user_104,2025-04-17 10:22:36.470285,AU,basic,45-54
user_105,2025-09-10 10:22:36.470285,US,free,18-24
user_106,2025-11-08 10:22:36.470285,US,basic,45-54
user_107,2025-02-10 10:22:36.470285,US,free,18-24
user_108,2025-07-11 10:22:36.470285,CA,premium,45-54
user_109,2025-04-14 10:22:36.470285,UK,basic,25-34
user_110,2025-12-12 10:22:36.470285,US,free,55+
user_111,2025-07-16 10:22:36.470285,US,premium,25-34
user_112,2025-08-27 10:22:36.470285,CA,basic,45-54
user_113,2025-09-24 10:22:36.470285,UK,basic,18-24
user_114,2025-05-06 10:22:36.470285,FR,premium,35-44
user_115,2025-04-18 10:22:36.470285,CA,premium,55+
user_116,2025-12-24 10:22:36.470285,AU,premium,18-24
user_117,2025-05-31 10:22:36.470285,AU,premium,45-54
user_118,2025-07-20 10:22:36.470285,US,premium,45-54
user_119,2025-08-01 10:22:36.470285,FR,free,18-24
user_120,2025-12-05 10:22:36.470285,US,free,18-24
user_121,2025-11-13 10:22:36.470285,US,free,35-44
user_122,2025-03-30 10:22:36.470285,DE,premium,25-34
user_123,2025-09-08 10:22:36.470285,US,premium,18-24
user_124,2025-03-15 10:22:36.470285,UK,basic,18-24
user_125,2025-08-11 10:22:36.470285,US,free,55+
user_126,2025-05-24 10:22:36.470285,FR,free,25-34
user_127,2026-01-06 10:22:36.470285,DE,premium,35-44
user_128,2025-11-20 10:22:36.470285,FR,free,25-34
user_129,2026-01-23 10:22:36.470285,AU,basic,18-24
user_130,2025-03-03 10:22:36.470285,US,basic,45-54
user_131,2025-02-21 10:22:36.470285,DE,premium,35-44
user_132,2025-03-29 10:22:36.470285,US,premium,18-24
user_133,2025-03-09 10:22:36.470285,US,basic,45-54
user_134,2025-12-03 10:22:36.470285,DE,free,25-34
user_135,2025-07-18 10:22:36.470285,US,basic,45-54
user_136,2025-05-01 10:22:36.470285,US,basic,35-44
user_137,2025-05-28 10:22:36.470285,US,basic,45-54
user_138,2025-02-03 10:22:36.470285,AU,basic,18-24
user_139,2025-03-02 10:22:36.470285,AU,premium,35-44
user_140,2025-06-01 10:22:36.470285,US,free,35-44
user_141,2025-08-06 10:22:36.470285,CA,basic,45-54
user_142,2025-08-24 10:22:36.470285,FR,basic,35-44
user_143,2025-11-05 10:22:36.470285,US,basic,55+
user_144,2025-10-09 10:22:36.470285,CA,free,45-54
user_145,2025-09-11 10:22:36.470285,CA,free,35-44
user_146,2025-02-12 10:22:36.470285,FR,basic,25-34
user_147,2025-06-22 10:22:36.470285,US,premium,18-24
user_148,2025-11-11 10:22:36.470285,UK,premium,25-34
user_149,2025-09-13 10:22:36.470285,US,free,35-44
user_150,2025-05-02 10:22:36.470285,US,premium,18-24
user_151,2025-06-30 10:22:36.470285,US,free,25-34
user_152,2025-10-13 10:22:36.470285,US,basic,18-24
user_153,2025-10-22 10:22:36.470285,CA,free,55+
user_154,2025-07-05 10:22:36.470285,CA,basic,45-54
user_155,2025-05-01 10:22:36.470285,US,basic,45-54
user_156,2025-07-26 10:22:36.470285,US,free,55+
user_157,2025-12-16 10:22:36.470285,UK,premium,55+
user_158,2025-04-19 10:22:36.470285,FR,free,55+
user_159,2025-10-20 10:22:36.470285,CA,basic,45-54
user_160,2025-05-11 10:22:36.470285,CA,free,55+
user_161,2025-03-21 10:22:36.470285,US,free,55+
user_162,2026-01-03 10:22:36.470285,US,premium,18-24
user_163,2025-07-03 10:22:36.470285,US,basic,18-24
user_164,2025-04-30 10:22:36.470285,US,premium,55+
user_165,2025-11-26 10:22:36.470285,US,free,45-54
user_166,2025-07-05 10:22:36.470285,US,free,55+
user_167,2025-06-04 10:22:36.470285,FR,basic,55+
user_168,2026-01-20 10:22:36.470285,UK,basic,45-54
user_169,2025-07-09 10:22:36.470285,US,free,25-34
user_170,2025-05-26 10:22:36.470285,US,basic,45-54
user_171,2025-05-05 10:22:36.470285,UK,free,55+
user_172,2025-11-23 10:22:36.470285,US,basic,35-44
user_173,2025-04-15 10:22:36.470285,UK,premium,35-44
user_174,2025-10-06 10:22:36.470285,CA,premium,25-34
user_175,2025-12-10 10:22:36.470285,US,premium,45-54
user_176,2025-05-02 10:22:36.470285,US,free,55+
user_177,2025-12-28 10:22:36.470285,US,basic,45-54
user_178,2025-06-04 10:22:36.470285,US,basic,55+
user_179,2025-10-17 10:22:36.470285,US,basic,55+
user_180,2025-07-04 10:22:36.470285,US,basic,25-34
user_181,2025-08-13 10:22:36.470285,US,premium,45-54
user_182,2025-09-04 10:22:36.470285,UK,premium,35-44
user_183,2025-06-24 10:22:36.470285,AU,free,18-24
user_184,2025-06-11 10:22:36.470285,UK,premium,18-24
user_185,2025-04-06 10:22:36.470285,US,free,45-54
user_186,2025-06-22 10:22:36.470285,CA,premium,25-34
user_187,2025-08-28 10:22:36.470285,UK,premium,18-24
user_188,2025-09-28 10:22:36.470285,US,basic,55+
user_189,2026-01-22 10:22:36.470285,US,basic,55+
user_190,2025-08-19 10:22:36.470285,US,free,45-54
user_191,2025-11-16 10:22:36.470285,CA,premium,18-24
user_192,2025-02-06 10:22:36.470285,CA,basic,35-44
user_193,2025-11-07 10:22:36.470285,FR,basic,55+
user_194,2025-03-12 10:22:36.470285,CA,free,25-34
user_195,2025-03-02 10:22:36.470285,US,free,18-24
user_196,2025-01-31 10:22:36.470285,AU,basic,55+
user_197,2025-08-23 10:22:36.470285,US,premium,35-44
user_198,2025-09-02 10:22:36.470285,UK,free,35-44
user_199,2025-06-23 10:22:36.470285,CA,basic,55+
user_200,2025-10-19 10:22:36.470285,CA,free,25-34
user_201,2025-09-09 10:22:36.470285,UK,free,18-24
user_202,2025-03-24 10:22:36.470285,CA,basic,55+
user_203,2025-11-19 10:22:36.470285,US,free,45-54
user_204,2025-09-04 10:22:36.470285,US,basic,45-54
user_205,2025-11-15 10:22:36.470285,US,premium,25-34
user_206,2025-12-09 10:22:36.470285,UK,basic,55+
user_207,2025-03-16 10:22:36.470285,US,premium,45-54
user_208,2025-08-02 10:22:36.470285,CA,basic,25-34
user_209,2025-09-02 10:22:36.470285,US,premium,18-24
user_210,2025-05-20 10:22:36.470285,US,premium,18-24
user_211,2025-07-20 10:22:36.470285,US,free,45-54
user_212,2025-11-15 10:22:36.470285,UK,premium,45-54
user_213,2025-05-26 10:22:36.470285,US,basic,35-44
user_214,2025-04-24 10:22:36.470285,US,basic,18-24
user_215,2025-09-07 10:22:36.470285,UK,basic,18-24
user_216,2025-12-25 10:22:36.470285,FR,basic,45-54
user_217,2025-04-28 10:22:36.470285,US,premium,55+
user_218,2025-06-12 10:22:36.470285,US,basic,25-34
user_219,2025-12-09 10:22:36.470285,CA,basic,25-34
user_220,2025-12-01 10:22:36.470285,US,basic,18-24
user_221,2025-03-22 10:22:36.470285,US,basic,18-24
user_222,2025-07-12 10:22:36.470285,UK,basic,35-44
user_223,2025-11-06 10:22:36.470285,CA,free,45-54
user_224,2025-11-08 10:22:36.470285,US,basic,45-54
user_225,2025-03-14 10:22:36.470285,US,free,55+
user_226,2025-07-07 10:22:36.470285,US,free,18-24
user_227,2025-12-28 10:22:36.470285,UK,premium,55+
user_228,2025-03-15 10:22:36.470285,UK,free,55+
user_229,2025-07-04 10:22:36.470285,AU,free,45-54
user_230,2025-06-27 10:22:36.470285,CA,basic,18-24
user_231,2026-01-16 10:22:36.470285,US,basic,55+
user_232,2025-10-11 10:22:36.470285,US,basic,18-24
user_233,2026-01-04 10:22:36.470285,AU,basic,18-24
user_234,2025-10-03 10:22:36.470285,CA,free,45-54
user_235,2025-03-09 10:22:36.470285,US,basic,45-54
user_236,2025-06-09 10:22:36.470285,UK,premium,45-54
user_237,2025-05-09 10:22:36.470285,UK,free,35-44
user_238,2025-08-26 10:22:36.470285,AU,free,18-24
user_239,2025-05-14 10:22:36.470285,US,premium,45-54
user_240,2025-08-29 10:22:36.470285,CA,free,18-24
user_241,2025-10-27 10:22:36.470285,US,free,25-34
user_242,2026-01-14 10:22:36.470285,US,basic,35-44
user_243,2025-03-07 10:22:36.470285,US,premium,55+
user_244,2026-01-22 10:22:36.470285,CA,premium,55+
user_245,2025-05-29 10:22:36.470285,UK,basic,25-34
user_246,2025-06-25 10:22:36.470285,AU,basic,35-44
user_247,2025-04-15 10:22:36.470285,UK,free,18-24
user_248,2025-06-16 10:22:36.470285,US,free,35-44
user_249,2025-08-21 10:22:36.470285,DE,basic,18-24
user_250,2025-11-14 10:22:36.470285,DE,premium,45-54
user_251,2025-06-03 10:22:36.470285,US,premium,55+
user_252,2025-08-08 10:22:36.470285,UK,free,45-54
user_253,2025-06-15 10:22:36.470285,US,premium,25-34
user_254,2025-05-13 10:22:36.470285,US,basic,55+
user_255,2025-05-07 10:22:36.470285,US,basic,55+
user_256,2025-07-28 10:22:36.470285,AU,basic,55+
user_257,2025-08-29 10:22:36.470285,CA,free,18-24
user_258,2025-05-04 10:22:36.470285,US,basic,25-34
user_259,2025-08-11 10:22:36.470285,UK,basic,55+
user_260,2025-07-20 10:22:36.470285,CA,free,18-24
user_261,2025-05-30 10:22:36.470285,CA,premium,45-54
user_262,2025-10-30 10:22:36.470285,US,basic,35-44
user_263,2025-04-22 10:22:36.470285,US,premium,18-24
user_264,2025-03-27 10:22:36.470285,AU,premium,35-44
user_265,2026-01-03 10:22:36.470285,US,basic,25-34
user_266,2025-08-28 10:22:36.470285,US,basic,25-34
user_267,2025-12-01 10:22:36.470285,US,premium,45-54
user_268,2025-08-09 10:22:36.470285,US,free,55+
user_269,2025-08-07 10:22:36.470285,UK,basic,45-54
user_270,2025-03-28 10:22:36.470285,US,free,35-44
user_271,2025-03-13 10:22:36.470285,US,basic,45-54
user_272,2025-09-15 10:22:36.470285,US,free,25-34
user_273,2025-03-06 10:22:36.470285,US,premium,18-24
user_274,2025-03-25 10:22:36.470285,AU,premium,35-44
user_275,2026-01-11 10:22:36.470285,US,premium,45-54
user_276,2025-06-19 10:22:36.470285,FR,basic,55+
user_277,2025-12-18 10:22:36.470285,AU,free,35-44
user_278,2025-10-06 10:22:36.470285,CA,basic,35-44
user_279,2025-04-15 10:22:36.470285,FR,premium,18-24
user_280,2025-02-19 10:22:36.470285,US,premium,55+
user_281,2025-10-26 10:22:36.470285,US,free,45-54
user_282,2025-09-27 10:22:36.470285,US,basic,35-44
user_283,2025-03-17 10:22:36.470285,AU,basic,18-24
user_284,2025-02-02 10:22:36.470285,CA,free,25-34
user_285,2025-08-15 10:22:36.470285,CA,premium,18-24
user_286,2025-04-12 10:22:36.470285,FR,free,45-54
user_287,2025-07-20 10:22:36.470285,UK,free,55+
user_288,2025-08-27 10:22:36.470285,AU,premium,35-44
user_289,2025-09-27 10:22:36.470285,US,basic,45-54
user_290,2025-04-04 10:22:36.470285,UK,basic,25-34
user_291,2025-01-29 10:22:36.470285,UK,premium,35-44
user_292,2025-05-07 10:22:36.470285,UK,basic,45-54
user_293,2025-05-25 10:22:36.470285,US,free,55+
user_294,2025-08-03 10:22:36.470285,AU,free,18-24
user_295,2025-08-05 10:22:36.470285,AU,free,35-44
user_296,2025-10-06 10:22:36.470285,US,free,25-34
user_297,2025-02-04 10:22:36.470285,UK,free,55+
user_298,2025-11-05 10:22:36.470285,US,basic,45-54
user_299,2025-11-24 10:22:36.470285,UK,premium,45-54
user_300,2025-12-13 10:22:36.470285,US,premium,55+
user_301,2025-10-23 10:22:36.470285,FR,basic,18-24
user_302,2025-03-01 10:22:36.470285,UK,premium,55+
user_303,2025-11-10 10:22:36.470285,US,basic,18-24
user_304,2025-08-21 10:22:36.470285,US,premium,25-34
user_305,2025-03-28 10:22:36.470285,AU,basic,55+
user_306,2025-07-05 10:22:36.470285,US,basic,35-44
user_307,2026-01-07 10:22:36.470285,UK,free,55+
user_308,2025-03-19 10:22:36.470285,US,free,45-54
user_309,2026-01-04 10:22:36.470285,US,basic,45-54
user_310,2025-05-31 10:22:36.470285,UK,premium,55+
user_311,2025-08-14 10:22:36.470285,CA,premium,18-24
user_312,2025-04-18 10:22:36.470285,US,basic,55+
user_313,2025-05-18 10:22:36.470285,CA,premium,35-44
user_314,2025-11-24 10:22:36.470285,US,free,45-54
user_315,2025-10-17 10:22:36.470285,US,basic,55+
user_316,2025-05-14 10:22:36.470285,AU,free,35-44
user_317,2025-11-26 10:22:36.470285,US,premium,18-24
user_318,2025-03-09 10:22:36.470285,AU,free,25-34
user_319,2025-03-31 10:22:36.470285,US,basic,25-34
user_320,2025-10-24 10:22:36.470285,UK,free,45-54
user_321,2025-10-11 10:22:36.470285,DE,basic,35-44
user_322,2025-06-29 10:22:36.470285,US,basic,25-34
user_323,2025-12-15 10:22:36.470285,US,basic,18-24
user_324,2025-03-31 10:22:36.470285,US,premium,25-34
user_325,2025-12-22 10:22:36.470285,US,premium,18-24
user_326,2025-05-13 10:22:36.470285,CA,basic,45-54
user_327,2025-09-05 10:22:36.470285,UK,basic,55+
user_328,2025-05-07 10:22:36.470285,US,premium,45-54
user_329,2025-06-25 10:22:36.470285,FR,premium,18-24
user_330,2025-12-21 10:22:36.470285,CA,premium,25-34
user_331,2025-03-22 10:22:36.470285,US,premium,45-54
user_332,2026-01-18 10:22:36.470285,AU,premium,55+
user_333,2025-11-11 10:22:36.470285,UK,premium,25-34
user_334,2025-05-26 10:22:36.470285,US,premium,25-34
user_335,2025-11-02 10:22:36.470285,US,premium,45-54
user_336,2025-02-21 10:22:36.470285,AU,basic,18-24
user_337,2025-10-19 10:22:36.470285,DE,free,55+
user_338,2026-01-17 10:22:36.470285,US,basic,55+
user_339,2025-07-06 10:22:36.470285,UK,free,45-54
user_340,2025-09-14 10:22:36.470285,UK,premium,35-44
user_341,2025-11-23 10:22:36.470285,US,premium,35-44
user_342,2025-02-25 10:22:36.470285,US,free,55+
user_343,2025-10-10 10:22:36.470285,CA,premium,25-34
user_344,2025-03-27 10:22:36.470285,UK,basic,35-44
user_345,2025-07-29 10:22:36.470285,US,free,55+
user_346,2025-12-15 10:22:36.470285,US,basic,55+
user_347,2025-11-18 10:22:36.470285,AU,basic,55+
user_348,2025-11-29 10:22:36.470285,AU,premium,45-54
user_349,2025-04-01 10:22:36.470285,US,basic,25-34
user_350,2025-10-17 10:22:36.470285,UK,basic,35-44
user_351,2025-08-18 10:22:36.470285,US,basic,55+
user_352,2025-05-24 10:22:36.470285,US,basic,45-54
user_353,2025-12-16 10:22:36.470285,US,basic,55+
user_354,2025-02-04 10:22:36.470285,AU,free,35-44
user_355,2026-01-04 10:22:36.470285,AU,basic,45-54
user_356,2025-05-24 10:22:36.470285,US,premium,25-34
user_357,2025-05-02 10:22:36.470285,US,basic,25-34
user_358,2025-09-12 10:22:36.470285,US,free,45-54
user_359,2025-11-29 10:22:36.470285,US,basic,18-24
user_360,2025-11-27 10:22:36.470285,DE,basic,25-34
user_361,2025-01-28 10:22:36.470285,CA,free,55+
user_362,2025-07-03 10:22:36.470285,AU,basic,35-44
user_363,2025-02-27 10:22:36.470285,US,basic,35-44
user_364,2025-06-14 10:22:36.470285,US,basic,55+
user_365,2025-03-25 10:22:36.470285,US,premium,45-54
user_366,2025-02-02 10:22:36.470285,DE,free,25-34
user_367,2026-01-12 10:22:36.470285,DE,premium,25-34
user_368,2025-05-15 10:22:36.470285,US,free,25-34
user_369,2025-01-29 10:22:36.470285,CA,free,18-24
user_370,2025-08-14 10:22:36.470285,US,basic,55+
user_371,2025-10-06 10:22:36.470285,US,free,25-34
user_372,2026-01-20 10:22:36.470285,CA,free,55+
user_373,2025-03-17 10:22:36.470285,US,premium,45-54
user_374,2025-08-10 10:22:36.470285,US,basic,35-44
user_375,2025-09-01 10:22:36.470285,UK,premium,25-34
user_376,2025-06-15 10:22:36.470285,US,premium,18-24
user_377,2025-04-25 10:22:36.470285,AU,basic,55+
user_378,2025-11-12 10:22:36.470285,US,basic,35-44
user_379,2025-07-16 10:22:36.470285,CA,premium,45-54
user_380,2025-03-12 10:22:36.470285,AU,premium,55+
user_381,2025-03-04 10:22:36.470285,US,free,35-44
user_382,2025-12-30 10:22:36.470285,US,free,18-24
user_383,2025-08-08 10:22:36.470285,DE,premium,45-54
user_384,2025-10-13 10:22:36.470285,US,basic,45-54
user_385,2025-12-06 10:22:36.470285,US,premium,35-44
user_386,2025-11-30 10:22:36.470285,AU,basic,35-44
user_387,2025-09-27 10:22:36.470285,US,free,25-34
user_388,2025-07-04 10:22:36.470285,US,premium,55+
user_389,2025-08-31 10:22:36.470285,US,premium,25-34
user_390,2025-12-25 10:22:36.470285,UK,premium,45-54
user_391,2025-07-21 10:22:36.470285,US,free,35-44
user_392,2025-08-04 10:22:36.470285,US,premium,25-34
user_393,2025-09-23 10:22:36.470285,AU,premium,35-44
user_394,2025-09-21 10:22:36.470285,CA,free,35-44
user_395,2025-10-26 10:22:36.470285,US,premium,45-54
user_396,2026-01-18 10:22:36.470285,UK,basic,45-54
user_397,2025-10-20 10:22:36.470285,US,premium,25-34
user_398,2025-04-28 10:22:36.470285,US,premium,55+
user_399,2025-10-24 10:22:36.470285,DE,free,18-24
user_400,2025-05-12 10:22:36.470285,US,basic,35-44
user_401,2025-11-09 10:22:36.470285,US,basic,18-24
user_402,2025-07-25 10:22:36.470285,UK,basic,35-44
user_403,2025-06-30 10:22:36.470285,CA,free,35-44
user_404,2025-08-28 10:22:36.470285,CA,free,55+
user_405,2025-12-18 10:22:36.470285,US,free,25-34
user_406,2025-08-22 10:22:36.470285,DE,basic,25-34
user_407,2025-07-01 10:22:36.470285,UK,premium,55+
user_408,2025-03-05 10:22:36.470285,US,premium,45-54
user_409,2025-07-14 10:22:36.470285,US,basic,35-44
user_410,2025-03-27 10:22:36.470285,US,free,35-44
user_411,2025-11-05 10:22:36.470285,UK,basic,55+
user_412,2025-04-06 10:22:36.470285,UK,basic,55+
user_413,2025-04-12 10:22:36.470285,US,free,55+
user_414,2025-01-26 10:22:36.470285,AU,premium,25-34
user_415,2025-05-23 10:22:36.470285,US,premium,45-54
user_416,2025-10-16 10:22:36.470285,CA,free,55+
user_417,2025-03-18 10:22:36.470285,US,basic,55+
user_418,2025-12-23 10:22:36.470285,UK,premium,25-34
user_419,2025-12-11 10:22:36.470285,AU,free,45-54
user_420,2025-05-27 10:22:36.470285,DE,basic,55+
user_421,2025-11-01 10:22:36.470285,US,premium,25-34
user_422,2025-02-17 10:22:36.470285,US,basic,45-54
user_423,2025-08-07 10:22:36.470285,US,premium,25-34
user_424,2025-11-01 10:22:36.470285,US,free,18-24
user_425,2025-10-02 10:22:36.470285,US,free,35-44
user_426,2025-04-13 10:22:36.470285,US,premium,55+
user_427,2025-06-13 10:22:36.470285,US,basic,18-24
user_428,2025-06-20 10:22:36.470285,UK,basic,18-24
user_429,2025-09-04 10:22:36.470285,US,premium,18-24
user_430,2025-02-08 10:22:36.470285,US,basic,18-24
user_431,2025-06-10 10:22:36.470285,AU,premium,18-24
user_432,2025-04-05 10:22:36.470285,DE,free,25-34
user_433,2025-09-05 10:22:36.470285,UK,basic,55+
user_434,2025-09-21 10:22:36.470285,US,premium,55+
user_435,2025-06-18 10:22:36.470285,US,basic,18-24
user_436,2025-04-16 10:22:36.470285,US,premium,45-54
user_437,2025-05-23 10:22:36.470285,US,premium,18-24
user_438,2025-08-27 10:22:36.470285,US,basic,45-54
user_439,2025-05-20 10:22:36.470285,US,premium,18-24
user_440,2026-01-02 10:22:36.470285,UK,basic,25-34
user_441,2025-05-12 10:22:36.470285,UK,free,45-54
user_442,2025-06-26 10:22:36.470285,UK,free,18-24
user_443,2025-08-15 10:22:36.470285,CA,premium,45-54
user_444,2025-03-16 10:22:36.470285,FR,premium,55+
user_445,2025-07-21 10:22:36.470285,UK,basic,25-34
user_446,2025-06-04 10:22:36.470285,US,free,25-34
user_447,2025-04-17 10:22:36.470285,US,premium,55+
user_448,2025-11-28 10:22:36.470285,US,free,35-44
user_449,2025-04-16 10:22:36.470285,US,free,25-34
user_450,2025-08-20 10:22:36.470285,US,basic,55+
user_451,2025-09-12 10:22:36.470285,DE,premium,45-54
user_452,2025-11-20 10:22:36.470285,US,basic,18-24
user_453,2025-02-09 10:22:36.470285,AU,free,55+
user_454,2025-10-14 10:22:36.470285,AU,basic,25-34
user_455,2025-08-03 10:22:36.470285,AU,free,18-24
user_456,2025-03-09 10:22:36.470285,US,free,55+
user_457,2025-05-03 10:22:36.470285,DE,premium,18-24
user_458,2025-03-12 10:22:36.470285,US,basic,25-34
user_459,2026-01-12 10:22:36.470285,CA,basic,25-34
user_460,2025-05-22 10:22:36.470285,US,basic,45-54
user_461,2025-07-20 10:22:36.470285,DE,basic,18-24
user_462,2025-04-19 10:22:36.470285,US,premium,55+
user_463,2025-11-08 10:22:36.470285,AU,basic,35-44
user_464,2025-11-19 10:22:36.470285,US,basic,18-24
user_465,2025-03-03 10:22:36.470285,US,free,25-34
user_466,2025-02-16 10:22:36.470285,US,basic,55+
user_467,2025-12-25 10:22:36.470285,US,free,55+
user_468,2025-03-27 10:22:36.470285,UK,free,25-34
user_469,2025-07-24 10:22:36.470285,US,premium,55+
user_470,2025-05-07 10:22:36.470285,US,premium,55+
user_471,2025-12-19 10:22:36.470285,US,free,45-54
user_472,2025-12-27 10:22:36.470285,US,basic,55+
user_473,2026-01-16 10:22:36.470285,CA,basic,35-44
user_474,2025-02-12 10:22:36.470285,AU,free,35-44
user_475,2025-09-10 10:22:36.470285,US,free,45-54
user_476,2025-03-18 10:22:36.470285,US,premium,35-44
user_477,2025-04-08 10:22:36.470285,US,basic,18-24
user_478,2025-10-01 10:22:36.470285,US,free,35-44
user_479,2025-06-22 10:22:36.470285,US,premium,35-44
user_480,2025-01-28 10:22:36.470285,DE,free,55+
user_481,2025-04-26 10:22:36.470285,US,premium,35-44
